height,weight,age,intelligent_cluster
180.04967141530113,80.09279757672456,39.958520709648646,0
179.8888119881953,79.86239780813447,40.09567065540681,0
180.15792128155073,79.80823379771832,40.230230418745876,0
179.94191218659765,79.87336180394138,39.84244905784656,0
180.0241962271566,79.97277800745685,39.42601592660266,0
180.08164450809514,79.85579754426081,39.54283720071524,0
179.90919759244787,79.98242799368681,39.57630888959941,0
179.93705250390758,80.00569377536544,40.17931614007378,0
179.94556172754747,80.04301794076058,40.03327677691296,0
179.9399746149894,79.83906884560255,40.284231946313994,0
179.93982933877706,79.8488152939379,40.55568345535268,0
179.94663511961576,80.16372816083151,39.99834164130396,0
180.0822544912103,79.92468443043576,39.63374690500869,0
180.27783130415526,79.87394178221021,40.358091917284696,0
180.07384665799955,79.83539700082076,40.05141048435699,0
179.8990914657135,79.90853961270956,39.52501173593893,0
179.95393612290403,79.91237380387496,40.317136667865675,0
179.88694476953185,80.12087879230162,40.040328664788404,0
179.9323077999694,79.80220884684944,40.18350288665226,0
180.0582122794713,80.0916028672164,40.266324537878006,0
159.91607824767775,60.14524137035024,34.907236287244636,2
159.84918467104526,59.825423340114405,35.329894092735444,2
159.8893665025994,60.09184247133523,34.6411380127758,2
160.08347954192305,59.98888597006478,35.088968415298694,2
160.03616360250476,60.10431401944676,34.806464073618464,2
160.14954342528836,59.99751823854576,35.101454375597996,2
159.73802548959102,59.810167650697636,35.24657075131257,2
159.85812495414086,60.00342827646588,35.312747485201825,2
159.97803281121625,59.96415316921425,35.107133771453526,2
159.9210741671302,59.83079196393152,35.22311338513137,2
159.9191506397107,60.17187906093703,34.84947288692464,2
160.05014483315247,60.14858423607509,35.347455995879606,2
159.9470239796233,60.15702359939599,35.15398022993401,2
160.13718621335497,60.1584365199694,35.05266598818645,2
159.92979469061225,59.89117406501678,34.901701356020666,2
160.12737336201397,60.14429223330254,34.912414198752316,2
160.00051134566425,59.96696440125951,34.92962385998746,2
159.96044835484196,59.93504606856145,34.91325894305902,2
159.9838714288334,60.00751624869735,35.12121525704436,2
159.90569431915327,60.18871283308839,35.42118762159779,2
119.8081228784701,29.91393619775099,9.992045837365234,1
120.01023476825496,30.001071609291543,9.870217215835597,1
119.98076390352189,29.85795794883649,10.090464202700083,1
120.03398209641867,29.8968221086046,9.997785955016628,1
120.11428228145151,29.89505501759696,10.225579909806033,1
119.91981721566503,30.052922332237433,10.415204715679803,1
120.05868570938003,29.836115908021764,10.657136687742993,1
119.95065675177966,29.874607404159942,10.276948782502586,1
120.00996513650877,30.071025744736914,9.84895730376514,1
120.00091443457401,29.890598310079177,9.890338210950237,1
119.8937696286274,30.076375095240987,10.142077729190554,1
120.06205482159618,29.855008377658397,9.95171878694108,1
119.92167467076638,30.169877447311425,9.903381545138297,1
119.96432549742318,30.063993618413672,10.16683653956019,1
120.02274599346042,30.011860231342403,10.39214282628473,1
119.9675509042171,30.15888630318133,9.938239984871348,1
120.02598827942484,29.935611916419482,10.234546861533193,1
120.12993968142645,30.158844103981032,9.739856153185134,1
120.02504928503458,30.056812658461716,10.103934462849093,1
120.02262882694988,29.803678820646653,10.254220429772992,1
